broker,トレーダー名,口座タイプ,口座通貨,キャンペーン,発注時間,決済時間,取引カテゴリ,取引タイプ,金融商品,銘柄グループ,ロット数,合計報酬,アフィリエイト報酬
XM,U002,Standard,USD,,2026-02-16T09:16:00,2026-02-16T17:32:00,FX,BUY,GBPUSD,FX Majors,9.70,79.54,24.46
XM,U002,Standard,USD,,2026-02-16T09:45:00,2026-02-16T12:55:00,FX,BUY,AUDUSD,FX Majors,2.85,24.71,8.52
XM,U003,Standard,USD,,2026-02-16T10:38:00,2026-02-16T13:57:00,FX,BUY,EURJPY,FX Majors,8.10,66.99,21.02
XM,U003,Standard,USD,,2026-02-16T10:35:00,2026-02-16T15:36:00,FX,BUY,EURJPY,FX Majors,2.22,20.94,7.02
XM,U004,Standard,USD,,2026-02-16T14:05:00,2026-02-16T13:20:00,FX,BUY,EURJPY,FX Majors,0.93,11.77,4.07
XM,U004,Standard,USD,,2026-02-16T15:19:00,2026-02-16T17:05:00,FX,BUY,AUDUSD,FX Majors,8.28,66.73,21.18
XM,U004,Standard,USD,,2026-02-16T12:17:00,2026-02-16T14:15:00,FX,BUY,XAUUSD,FX Majors,3.36,28.70,9.50
XM,U005,Standard,USD,,2026-02-16T15:04:00,2026-02-16T14:05:00,FX,BUY,AUDUSD,FX Majors,7.57,64.34,21.11
XM,U005,Standard,USD,,2026-02-16T10:42:00,2026-02-16T12:39:00,FX,BUY,AUDUSD,FX Majors,0.82,6.84,2.66
XM,U005,Standard,USD,,2026-02-16T09:25:00,2026-02-16T10:07:00,FX,BUY,AUDUSD,FX Majors,5.70,47.00,14.42
XM,U001,Standard,USD,,2026-02-17T15:56:00,2026-02-17T12:04:00,FX,BUY,EURUSD,FX Majors,8.60,73.29,22.78
XM,U001,Standard,USD,,2026-02-17T09:49:00,2026-02-17T17:39:00,FX,BUY,EURJPY,FX Majors,3.20,30.50,10.44
XM,U002,Standard,USD,,2026-02-17T09:39:00,2026-02-17T13:34:00,FX,BUY,XAUUSD,FX Majors,1.53,13.21,5.61
XM,U002,Standard,USD,,2026-02-17T12:59:00,2026-02-17T16:32:00,FX,BUY,EURJPY,FX Majors,0.84,11.53,4.64
XM,U003,Standard,USD,,2026-02-17T16:29:00,2026-02-17T17:14:00,FX,BUY,GBPUSD,FX Majors,3.04,27.34,8.54
XM,U003,Standard,USD,,2026-02-17T12:50:00,2026-02-17T14:42:00,FX,BUY,XAUUSD,FX Majors,6.56,55.34,18.36
XM,U004,Standard,USD,,2026-02-17T15:05:00,2026-02-17T15:06:00,FX,BUY,EURJPY,FX Majors,1.44,12.92,4.78
XM,U004,Standard,USD,,2026-02-17T14:06:00,2026-02-17T16:14:00,FX,BUY,GBPUSD,FX Majors,1.12,13.31,5.18
XM,U004,Standard,USD,,2026-02-17T14:33:00,2026-02-17T15:55:00,FX,BUY,GBPUSD,FX Majors,4.81,40.55,13.36
XM,U005,Standard,USD,,2026-02-17T12:56:00,2026-02-17T11:09:00,FX,BUY,EURUSD,FX Majors,9.71,81.46,24.46
XM,U005,Standard,USD,,2026-02-17T11:55:00,2026-02-17T13:47:00,FX,BUY,AUDUSD,FX Majors,8.37,71.29,22.96
XM,U005,Standard,USD,,2026-02-17T10:23:00,2026-02-17T14:18:00,FX,BUY,EURUSD,FX Majors,1.84,15.77,6.57
XM,U001,Standard,USD,,2026-02-18T13:51:00,2026-02-18T12:10:00,FX,BUY,GBPUSD,FX Majors,3.47,29.26,9.82
XM,U002,Standard,USD,,2026-02-18T11:14:00,2026-02-18T17:24:00,FX,BUY,XAUUSD,FX Majors,5.85,51.05,16.03
XM,U002,Standard,USD,,2026-02-18T14:16:00,2026-02-18T15:29:00,FX,BUY,AUDUSD,FX Majors,6.55,53.49,17.22
XM,U003,Standard,USD,,2026-02-18T10:58:00,2026-02-18T10:18:00,FX,BUY,GBPUSD,FX Majors,2.46,21.47,7.71
XM,U003,Standard,USD,,2026-02-18T15:31:00,2026-02-18T10:03:00,FX,BUY,EURJPY,FX Majors,9.24,75.76,24.54
XM,U003,Standard,USD,,2026-02-18T10:15:00,2026-02-18T12:15:00,FX,BUY,EURJPY,FX Majors,3.33,27.32,9.99
XM,U004,Standard,USD,,2026-02-18T09:58:00,2026-02-18T11:55:00,FX,BUY,EURUSD,FX Majors,6.36,50.97,16.43
XM,U005,Standard,USD,,2026-02-18T13:43:00,2026-02-18T15:49:00,FX,BUY,XAUUSD,FX Majors,6.83,55.57,17.31
XM,U001,Standard,USD,,2026-02-19T09:27:00,2026-02-19T13:57:00,FX,BUY,EURUSD,FX Majors,2.59,23.26,8.39
XM,U001,Standard,USD,,2026-02-19T13:13:00,2026-02-19T11:32:00,FX,BUY,XAUUSD,FX Majors,9.64,79.26,24.11
XM,U002,Standard,USD,,2026-02-19T13:05:00,2026-02-19T13:40:00,FX,BUY,EURJPY,FX Majors,9.73,79.33,25.20
XM,U002,Standard,USD,,2026-02-19T15:21:00,2026-02-19T11:26:00,FX,BUY,GBPUSD,FX Majors,7.47,61.63,19.63
XM,U003,Standard,USD,,2026-02-19T14:08:00,2026-02-19T11:29:00,FX,BUY,EURUSD,FX Majors,7.31,62.62,20.20
XM,U003,Standard,USD,,2026-02-19T11:34:00,2026-02-19T11:48:00,FX,BUY,EURJPY,FX Majors,5.46,46.64,14.85
XM,U003,Standard,USD,,2026-02-19T15:06:00,2026-02-19T10:14:00,FX,BUY,EURUSD,FX Majors,4.50,37.67,12.72
XM,U004,Standard,USD,,2026-02-19T09:20:00,2026-02-19T14:15:00,FX,BUY,EURJPY,FX Majors,6.99,56.23,18.48
XM,U005,Standard,USD,,2026-02-19T12:52:00,2026-02-19T15:53:00,FX,BUY,USDJPY,FX Majors,6.84,55.76,18.08
XM,U005,Standard,USD,,2026-02-19T10:15:00,2026-02-19T10:29:00,FX,BUY,USDJPY,FX Majors,2.72,25.50,8.22
XM,U001,Standard,USD,,2026-02-20T13:01:00,2026-02-20T11:59:00,FX,BUY,EURUSD,FX Majors,5.69,50.01,15.86
XM,U002,Standard,USD,,2026-02-20T11:12:00,2026-02-20T13:31:00,FX,BUY,GBPUSD,FX Majors,3.86,32.10,9.92
XM,U002,Standard,USD,,2026-02-20T10:03:00,2026-02-20T11:37:00,FX,BUY,EURJPY,FX Majors,0.12,4.82,2.34
XM,U002,Standard,USD,,2026-02-20T10:26:00,2026-02-20T12:20:00,FX,BUY,EURUSD,FX Majors,2.99,24.01,8.08
XM,U003,Standard,USD,,2026-02-20T12:20:00,2026-02-20T15:53:00,FX,BUY,USDJPY,FX Majors,1.22,13.00,4.21
XM,U003,Standard,USD,,2026-02-20T11:50:00,2026-02-20T14:38:00,FX,BUY,EURUSD,FX Majors,9.12,75.67,23.97
XM,U004,Standard,USD,,2026-02-20T12:30:00,2026-02-20T12:03:00,FX,BUY,USDJPY,FX Majors,8.35,68.97,22.29
XM,U004,Standard,USD,,2026-02-20T13:04:00,2026-02-20T15:38:00,FX,BUY,GBPUSD,FX Majors,7.73,61.95,20.05
XM,U005,Standard,USD,,2026-02-20T13:21:00,2026-02-20T12:51:00,FX,BUY,XAUUSD,FX Majors,1.30,11.94,4.36
XM,U005,Standard,USD,,2026-02-20T16:36:00,2026-02-20T15:34:00,FX,BUY,EURJPY,FX Majors,7.88,66.98,20.48
XM,U001,Standard,USD,,2026-02-23T14:31:00,2026-02-23T17:05:00,FX,BUY,XAUUSD,FX Majors,3.81,35.08,11.61
XM,U002,Standard,USD,,2026-02-23T09:12:00,2026-02-23T11:20:00,FX,BUY,EURUSD,FX Majors,3.64,30.14,9.95
XM,U002,Standard,USD,,2026-02-23T12:29:00,2026-02-23T11:00:00,FX,BUY,AUDUSD,FX Majors,6.18,51.85,16.15
XM,U003,Standard,USD,,2026-02-23T11:47:00,2026-02-23T15:24:00,FX,BUY,EURJPY,FX Majors,2.37,20.47,7.63
XM,U004,Standard,USD,,2026-02-23T14:37:00,2026-02-23T11:40:00,FX,BUY,AUDUSD,FX Majors,2.42,22.91,7.58
XM,U004,Standard,USD,,2026-02-23T15:58:00,2026-02-23T16:41:00,FX,BUY,XAUUSD,FX Majors,6.94,56.23,17.59
XM,U005,Standard,USD,,2026-02-23T11:03:00,2026-02-23T10:52:00,FX,BUY,USDJPY,FX Majors,2.30,22.27,7.42
XM,U001,Standard,USD,,2026-02-24T10:03:00,2026-02-24T11:48:00,FX,BUY,USDJPY,FX Majors,0.71,8.81,3.77
XM,U001,Standard,USD,,2026-02-24T16:46:00,2026-02-24T11:18:00,FX,BUY,AUDUSD,FX Majors,4.73,42.29,14.45
XM,U002,Standard,USD,,2026-02-24T13:05:00,2026-02-24T16:10:00,FX,BUY,USDJPY,FX Majors,5.40,48.14,16.01
XM,U002,Standard,USD,,2026-02-24T15:51:00,2026-02-24T12:16:00,FX,BUY,GBPUSD,FX Majors,3.39,31.10,10.07
XM,U003,Standard,USD,,2026-02-24T11:25:00,2026-02-24T17:30:00,FX,BUY,AUDUSD,FX Majors,4.23,34.86,12.11
XM,U004,Standard,USD,,2026-02-24T15:03:00,2026-02-24T15:55:00,FX,BUY,USDJPY,FX Majors,0.70,7.40,2.64
XM,U004,Standard,USD,,2026-02-24T10:47:00,2026-02-24T10:39:00,FX,BUY,USDJPY,FX Majors,1.49,12.13,5.55
XM,U004,Standard,USD,,2026-02-24T12:36:00,2026-02-24T12:07:00,FX,BUY,XAUUSD,FX Majors,1.62,13.13,5.12
XM,U005,Standard,USD,,2026-02-24T14:51:00,2026-02-24T16:23:00,FX,BUY,XAUUSD,FX Majors,8.35,70.11,21.61
XM,U001,Standard,USD,,2026-02-25T14:11:00,2026-02-25T14:11:00,FX,BUY,EURJPY,FX Majors,6.06,50.80,16.64
XM,U001,Standard,USD,,2026-02-25T09:41:00,2026-02-25T11:47:00,FX,BUY,USDJPY,FX Majors,0.41,4.23,3.20
XM,U002,Standard,USD,,2026-02-25T14:54:00,2026-02-25T12:32:00,FX,BUY,EURUSD,FX Majors,7.87,65.42,21.18
XM,U002,Standard,USD,,2026-02-25T09:46:00,2026-02-25T11:07:00,FX,BUY,XAUUSD,FX Majors,1.06,11.01,3.42
XM,U002,Standard,USD,,2026-02-25T12:51:00,2026-02-25T10:04:00,FX,BUY,USDJPY,FX Majors,9.66,82.06,25.33
XM,U003,Standard,USD,,2026-02-25T16:11:00,2026-02-25T17:17:00,FX,BUY,XAUUSD,FX Majors,6.98,60.44,19.02
XM,U003,Standard,USD,,2026-02-25T13:46:00,2026-02-25T16:51:00,FX,BUY,EURJPY,FX Majors,8.29,71.26,21.71
XM,U004,Standard,USD,,2026-02-25T09:45:00,2026-02-25T16:44:00,FX,BUY,GBPUSD,FX Majors,4.75,41.89,13.30
XM,U005,Standard,USD,,2026-02-25T09:20:00,2026-02-25T15:06:00,FX,BUY,XAUUSD,FX Majors,2.99,25.42,8.27
XM,U001,Standard,USD,,2026-02-26T14:53:00,2026-02-26T10:05:00,FX,BUY,XAUUSD,FX Majors,7.97,64.20,19.63
XM,U002,Standard,USD,,2026-02-26T16:43:00,2026-02-26T15:42:00,FX,BUY,AUDUSD,FX Majors,5.01,44.60,14.49
XM,U002,Standard,USD,,2026-02-26T10:26:00,2026-02-26T10:43:00,FX,BUY,XAUUSD,FX Majors,9.03,76.87,24.78
XM,U002,Standard,USD,,2026-02-26T10:33:00,2026-02-26T15:22:00,FX,BUY,EURJPY,FX Majors,6.15,49.53,16.65
XM,U003,Standard,USD,,2026-02-26T14:30:00,2026-02-26T13:40:00,FX,BUY,EURUSD,FX Majors,8.98,75.68,24.26
XM,U003,Standard,USD,,2026-02-26T14:38:00,2026-02-26T14:27:00,FX,BUY,EURJPY,FX Majors,5.16,41.59,13.93
XM,U004,Standard,USD,,2026-02-26T13:27:00,2026-02-26T14:18:00,FX,BUY,XAUUSD,FX Majors,5.55,48.97,14.77
XM,U004,Standard,USD,,2026-02-26T11:20:00,2026-02-26T17:58:00,FX,BUY,USDJPY,FX Majors,3.82,31.92,11.03
XM,U004,Standard,USD,,2026-02-26T12:44:00,2026-02-26T15:48:00,FX,BUY,XAUUSD,FX Majors,7.65,65.23,21.25
XM,U005,Standard,USD,,2026-02-26T14:53:00,2026-02-26T13:59:00,FX,BUY,AUDUSD,FX Majors,0.74,10.01,4.21
